user,Question,Answer,Similarity,Question_Time,Answer_Time
🧑***,支持小袁学练机吗,1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,0.5100379586219788,1900-01-01 11:21:00,1900-01-01 11:21:00
花***,手机就能用是么？,@花*** 对,1.0,1900-01-01 11:22:00,1900-01-01 11:24:00
🧑***,只有21天吗,@🧑*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 11:27:00,1900-01-01 11:27:00
🧑***,长期用怎么收费,@🧑*** 1号链接99元21天APP阅读卡，养成识字习惯，锻炼阅读思维，娃不累、妈不操心！,1.0,1900-01-01 11:27:00,1900-01-01 11:27:00
子***,以后的会员补差价还是重新交费,@子*** 带起联系阅读老师,1.0,1900-01-01 11:31:00,1900-01-01 11:31:00
用***,用手机学习吗？,仅直播间活动力度，优惠数量有限，每个手机号码限购一次哦,0.65392005443573,1900-01-01 11:39:00,1900-01-01 11:39:00
熙***,以后还要收费吗,,,1900-01-01 11:40:00,
田博士带娃学习,@�*** 没有2号链接啊,正在讲解：3-8岁快速识字、自主阅读方法！0基础可用！1号链接名额有限，先到先得！,0.578312337398529,1900-01-01 11:46:00,1900-01-01 11:46:00
m***,年卡有优惠吗,@m*** 联系阅读客服,1.0,1900-01-01 11:48:00,1900-01-01 11:48:00
娜***,怎么学,特别提醒！一号链接21天会员畅享，不含平板&学习机哦,0.6527804136276245,1900-01-01 11:48:00,1900-01-01 11:49:00
